id,Программа,Источник,Подтверждённые часы
3d98404a31c68acd,Нормы и правила работы в электроустановках,Электробезопасность!B6,
e94c6bd65a71a002,ПК Эксплуатация тепловых энергоустановок и тепловых сетей,Электробезопасность!B15,
134fd31d9c06c17c,"ПК Электроэнергетика. Общие требования, предъявляемые к испытательным электролабораториям",Электробезопасность!B16,
f6215c1e6b8ab9be,ПК Техническая эксплуатация тепловых энергоустановок,Электробезопасность!B17,
6f42ae77ace58378,ДПП Электроэнергетика и электротехника,"Список программ ДПП.pdf, пункт 1",
e46ea8f5394d620e,ДПП Электрохимическая защита от коррозии линейных сооружений и объектов,"Список программ ДПП.pdf, пункт 2",
4b0ab58df8047941,"ДПП Электроснабжение непромышленных объектов, строительных объектов и промышленных предприятий","Список программ ДПП.pdf, пункт 3",
21c556f3e178e430,"ДПП Электрооборудование и электрохозяйство организаций, учреждений и предприятий","Список программ ДПП.pdf, пункт 4",
c93620070febc378,ДПП Эксплуатация тепловых энергоустановок и тепловых сетей,"Список программ ДПП.pdf, пункт 5",
543bc82685efdaea,ДПП Эксплуатация нефтебаз и нефтехранилищ,"Список программ ДПП.pdf, пункт 6",
888711d93a65a85a,"ДПП Эксплуатация котлов на газообразном, твердом, жидком топливе и электронагреве","Список программ ДПП.pdf, пункт 7",
6658128585acdebf,ДПП Эксплуатация и ремонт технологического оборудования механосборочного производства,"Список программ ДПП.pdf, пункт 9",
d0390ac4f5c1c91f,"ДПП Эксплуатация и обслуживание объектов транспорта и хранения нефти, газа и продуктов переработки","Список программ ДПП.pdf, пункт 10",
392973e5e6a4336c,ДПП Эксплуатация и обслуживание объектов нефти и газа,"Список программ ДПП.pdf, пункт 11",
e7cdc305f9e208da,ДПП Эксплуатация зданий и сооружений,"Список программ ДПП.pdf, пункт 12",
e64e19f0e9b81fbf,ДПП Эксперт по техническому контролю и диагностике автомототранспортных средств,"Список программ ДПП.pdf, пункт 14",
7b158492f2dd5ffa,ДПП Экономика и управление на предприятии,"Список программ ДПП.pdf, пункт 15",
4a85edd40349ddf3,ДПП Экономика и управление в организации,"Список программ ДПП.pdf, пункт 16",
6f4031608d7ecd22,"ДПП Экология, охрана окружающей среды и экологическая безопасность","Список программ ДПП.pdf, пункт 17",
a1128e1753955382,ДПП Химическая технология переработки углеводородов,"Список программ ДПП.pdf, пункт 18",
6304b8cfcfba94a7,ДПП Управление проектами в строительстве,"Список программ ДПП.pdf, пункт 19",
babd20da798934fb,"ДПП Тренер-преподаватель по курсу ""Шахматы""","Список программ ДПП.pdf, пункт 22",
c62569bbbf4f2f60,ДПП Тренер-преподаватель,"Список программ ДПП.pdf, пункт 23",
7ce92110b8e90c6a,ДПП Товаровед и торговое дело,"Список программ ДПП.pdf, пункт 24",
f0c2eafba8dcdd1c,ДПП Техносферная безопасность. Защита в чрезвычайных ситуациях,"Список программ ДПП.pdf, пункт 25",
607b0695d19b27eb,ДПП Технология продукции и организация общественного питания,"Список программ ДПП.pdf, пункт 27",
9693eec69a02a08e,ДПП Технология приготовления хлеба и хлебобулочных изделий,"Список программ ДПП.pdf, пункт 28",
536151b1a7f2eae2,ДПП Технология пищевой и перерабатывающей промышленности,"Список программ ДПП.pdf, пункт 29",
